epoch,train_loss,train_iou,val_loss,val_iou,val_dice,val_precision,val_recall,lr
1,0.9223068745008537,0.09046923733794535,,,,,,0.0001
2,0.8210941547794002,0.15508830855598438,,,,,,0.0001
3,0.7777622203741755,0.1908979563047189,,,,,,0.0001
4,0.7521341618682656,0.2454640559345323,,,,,,0.0001
5,0.7349453318331923,0.22416248718328566,0.7397751328737839,0.06343031051960925,0.10719700987492926,0.38131047510860866,0.11389105953200937,0.0001
6,0.7222068368324212,0.1685271598795822,,,,,,0.0001
7,0.7136502095631191,0.1481341653691112,,,,,,0.0001
8,0.7070918205593314,0.17266786780883497,,,,,,0.0001
9,0.7022324023502213,0.2062636649849021,,,,,,0.0001
10,0.699185133512531,0.21756063851466786,0.7057325675867606,0.03454868033557053,0.059082848234591825,0.6701677751903645,0.04787255426228305,0.0001
11,0.6958576669650418,0.2737275024568337,,,,,,0.0001
12,0.6944452933967113,0.24636139281976233,,,,,,0.0001
13,0.6928096206060478,0.25361975812063675,,,,,,0.0001
14,0.6913263563598905,0.2664417271680753,,,,,,0.0001
15,0.6896922545773643,0.28562179056297515,0.6987189918324568,0.047109952713384265,0.08016090946667268,0.5166295965908979,0.07618167390377088,0.0001
16,0.6883438442434583,0.2970371958334238,,,,,,0.0001
17,0.6884304178612572,0.29792980619146897,,,,,,0.0001
18,0.6870141747806754,0.32939199445610523,,,,,,0.0001
19,0.6859818665044648,0.3520582607847553,,,,,,0.0001
20,0.6857947462371418,0.3339797758063625,0.6977494268313699,0.06870330851439718,0.11408704046624653,0.49492088367224113,0.12415706216128737,0.0001
21,0.6845216639339924,0.43299896541030763,,,,,,0.0001
22,0.6836702238236155,0.4134792221455384,,,,,,0.0001
23,0.6839651332369873,0.39965997623516175,,,,,,0.0001
24,0.6834258346685341,0.4177409453180378,,,,,,0.0001
25,0.6831909013645989,0.4116704811691794,0.6993677797524825,0.08713177540039156,0.14541189139982144,0.2689994084120745,0.18336137854534548,0.0001
26,0.6823065408638546,0.41647596694582345,,,,,,0.0001
27,0.6830513062221664,0.4072702710302651,,,,,,0.0001
28,0.6815671660006046,0.4686336937606832,,,,,,0.0001
29,0.6816967539489269,0.4556944123946223,,,,,,0.0001
30,0.6810456115220275,0.5121907893727498,0.6972815467827562,0.09358303775135947,0.15519942307341855,0.3631934845509667,0.19047293076892446,0.0001
31,0.6803720460406372,0.5300720129786572,,,,,,0.0001
32,0.6813464303101812,0.4985683621434728,,,,,,0.0001
33,0.6810892069978374,0.5379021224443926,,,,,,0.0001
34,0.6803888933999198,0.6298032544459794,,,,,,0.0001
35,0.6798866220882961,0.5999423784182935,0.6976616991602856,0.12735210543658457,0.20876563336023427,0.28963308755710443,0.26008317283628546,0.0001
36,0.6808808062757764,0.595916045049918,,,,,,0.0001
37,0.6796817135597978,0.6454810534129004,,,,,,0.0001
38,0.6794231102934906,0.6809454710962541,,,,,,0.0001
39,0.6789232620171138,0.7385140451248408,,,,,,0.0001
